date,home_team,away_team,score,venue,referee,home_possession,away_possession,home_shots_on_target,away_shots_on_target,home_saves,away_saves,home_shots_on_target_pct,away_shots_on_target_pct,home_saves_pct,away_saves_pct,result,winner,year,month,day,weekday
2025-09-16,Psv,Union Sg,1–3,Philips Stadion,Anthony Taylor,63.0,37.0,,,,,30.0,44.4,50.0,66.7,Away Win,Union Sg,2025.0,9.0,16.0,Tuesday
2025-09-16,Athletic Club,Arsenal,0–2,San Mamés,Donatas Rumšas,38.0,62.0,,,,,18.2,54.5,66.7,100.0,Away Win,Arsenal,2025.0,9.0,16.0,Tuesday
2025-09-16,Tottenham Hotspur,Villarreal,1–0,Tottenham Hotspur Stadium,Rade Obrenović,58.0,42.0,,,,,11.1,0.0,,100.0,Home Win,Tottenham Hotspur,2025.0,9.0,16.0,Tuesday
2025-09-16,Benfica,Qarabağ,2–3,Estádio Do Sport Lisboa E Benfica,Erik Lambrechts,53.0,47.0,,,,,21.4,50.0,40.0,33.3,Away Win,Qarabağ,2025.0,9.0,16.0,Tuesday
2025-09-16,Juventus,Dortmund,4–4,Allianz Stadium,François Letexier,52.0,48.0,,,,,36.8,50.0,20.0,42.9,Draw,Draw,2025.0,9.0,16.0,Tuesday
2025-09-16,Real Madrid,Marseille,2–1,Estadio Santiago Bernabéu,Irfan Peljto,43.0,57.0,,,,,53.6,33.3,80.0,86.7,Home Win,Real Madrid,2025.0,9.0,16.0,Tuesday
2025-09-17,Slavia Prague,Bodø/Glimt,2–2,Fortuna Arena,Marian Barbu,47.0,53.0,,,,,42.3,90.9,70.0,72.7,Draw,Draw,2025.0,9.0,17.0,Wednesday
2025-09-17,Olympiacos,Pafos Fc,0–0,Stadio Georgios Karaiskáki,István Kovács,69.0,31.0,,,,,16.7,16.7,100.0,100.0,Draw,Draw,2025.0,9.0,17.0,Wednesday
2025-09-17,Liverpool,Atlético Madrid,3–2,Anfield,Maurizio Mariani,56.0,44.0,,,,,30.0,40.0,50.0,50.0,Home Win,Liverpool,2025.0,9.0,17.0,Wednesday
2025-09-17,Ajax,Inter,0–2,Johan Cruijff Arena,Michael Oliver,57.0,44.0,,,,,28.6,28.6,75.0,100.0,Away Win,Inter,2025.0,9.0,17.0,Wednesday
